filename,student_id,grade
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,14944,C
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15014,D
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15140,C
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15146,C
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15154,F
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15267,C
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15364,B
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15484,D
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15534,C
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15580,C
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15584,A
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15692,C
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15693,C
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15722,C
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15729,F
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15740,C
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15743,C
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15757,B
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15768,C
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15773,F
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15780,B
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15811,D
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15813,C
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15838,D
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15842,B
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15914,D
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15929,B
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15935,B
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15945,B
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15950,B
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15954,C
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15985,A
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,15999,C
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,16142,C
EHSS-04  Final Grades 03 April 2024_240403E-T2AE,16310,C
