filename,student_id,grade
IEAP-P Final Grades_240109E-T1AE,16115,F
IEAP-P Final Grades_240109E-T1AE,16117,F
IEAP-P Final Grades_240109E-T1AE,16119,F
IEAP-P Final Grades_240109E-T1AE,16123,A
IEAP-P Final Grades_240109E-T1AE,16128,C
IEAP-P Final Grades_240109E-T1AE,16137,D
IEAP-P Final Grades_240109E-T1AE,16138,F
IEAP-P Final Grades_240109E-T1AE,16144,B
IEAP-P Final Grades_240109E-T1AE,16145,C
IEAP-P Final Grades_240109E-T1AE,16153,F
IEAP-P Final Grades_240109E-T1AE,16154,B
IEAP-P Final Grades_240109E-T1AE,16155,C
IEAP-P Final Grades_240109E-T1AE,16165,C
IEAP-P Final Grades_240109E-T1AE,16178,F
IEAP-P Final Grades_240109E-T1AE,16192,C
IEAP-P Final Grades_240109E-T1AE,16193,C
IEAP-P Final Grades_240109E-T1AE,16194,B
IEAP-P Final Grades_240109E-T1AE,16206,F
IEAP-P Final Grades_240109E-T1AE,16208,F
IEAP-P Final Grades_240109E-T1AE,16217,F
IEAP-P Final Grades_240109E-T1AE,16224,B
IEAP-P Final Grades_240109E-T1AE,16225,C
IEAP-P Final Grades_240109E-T1AE,16245,F
IEAP-P Final Grades_240109E-T1AE,16266,F
IEAP-P Final Grades_240109E-T1AE,16308,B
IEAP-P Final Grades_240109E-T1AE,16312,D
IEAP-P Final Grades_240109E-T1AE,16313,F
IEAP-P Final Grades_240109E-T1AE,16334,D
IEAP-P Final Grades_240109E-T1AE,16346,B
IEAP-P Final Grades_240109E-T1AE,16370,F
IEAP-P Final Grades_240109E-T1AE,16391,C
IEAP-P Final Grades_240109E-T1AE,16392,C
IEAP-P Final Grades_240109E-T1AE,16400,C
IEAP-P Final Grades_240109E-T1AE,16401,C
IEAP-P Final Grades_240109E-T1AE,16403,D
IEAP-P Final Grades_240109E-T1AE,16415,C
IEAP-P Final Grades_240109E-T1AE,16421,F
IEAP-P Final Grades_240109E-T1AE,16427,D
IEAP-P Final Grades_240109E-T1AE,16428,F
IEAP-P Final Grades_240109E-T1AE,16435,D
IEAP-P Final Grades_240109E-T1AE,16453,C
IEAP-P Final Grades_240109E-T1AE,16480,B
IEAP-P Final Grades_240109E-T1AE,16481,D
IEAP-P Final Grades_240109E-T1AE,16482,D
IEAP-P Final Grades_240109E-T1AE,16483,C
IEAP-P Final Grades_240109E-T1AE,16484,D
IEAP-P Final Grades_240109E-T1AE,16489,F
IEAP-P Final Grades_240109E-T1AE,16494,C
IEAP-P Final Grades_240109E-T1AE,16498,D
IEAP-P Final Grades_240109E-T1AE,16502,C
IEAP-P Final Grades_240109E-T1AE,16515,C
IEAP-P Final Grades_240109E-T1AE,16518,B
IEAP-P Final Grades_240109E-T1AE,16526,C
IEAP-P Final Grades_240109E-T1AE,16538,F
IEAP-P Final Grades - 9 Jan 2024_240109E-T1AE,16115,D
IEAP-P Final Grades - 9 Jan 2024_240109E-T1AE,16117,F
IEAP-P Final Grades - 9 Jan 2024_240109E-T1AE,16119,F
IEAP-P Final Grades - 9 Jan 2024_240109E-T1AE,16123,A
IEAP-P Final Grades - 9 Jan 2024_240109E-T1AE,16128,C
IEAP-P Final Grades - 9 Jan 2024_240109E-T1AE,16137,D
IEAP-P Final Grades - 9 Jan 2024_240109E-T1AE,16138,D
IEAP-P Final Grades - 9 Jan 2024_240109E-T1AE,16144,B
IEAP-P Final Grades - 9 Jan 2024_240109E-T1AE,16145,C
IEAP-P Final Grades - 9 Jan 2024_240109E-T1AE,16153,F
IEAP-P Final Grades - 9 Jan 2024_240109E-T1AE,16154,B
IEAP-P Final Grades - 9 Jan 2024_240109E-T1AE,16155,C
IEAP-P Final Grades - 9 Jan 2024_240109E-T1AE,16165,C
IEAP-P Final Grades - 9 Jan 2024_240109E-T1AE,16178,F
IEAP-P Final Grades - 9 Jan 2024_240109E-T1AE,16192,C
IEAP-P Final Grades - 9 Jan 2024_240109E-T1AE,16193,C
IEAP-P Final Grades - 9 Jan 2024_240109E-T1AE,16194,B
IEAP-P Final Grades - 9 Jan 2024_240109E-T1AE,16206,F
IEAP-P Final Grades - 9 Jan 2024_240109E-T1AE,16208,F
