filename,student_id,grade
EHSS-10 Final Grades_2023T1ET1E,11270,C
EHSS-10 Final Grades_2023T1ET1E,11714,C
EHSS-10 Final Grades_2023T1ET1E,11832,C
EHSS-10 Final Grades_2023T1ET1E,11948,C
EHSS-10 Final Grades_2023T1ET1E,11993,A
EHSS-10 Final Grades_2023T1ET1E,12035,D
EHSS-10 Final Grades_2023T1ET1E,12596,D
EHSS-10 Final Grades_2023T1ET1E,12674,D
EHSS-10 Final Grades_2023T1ET1E,12806,D
EHSS-10 Final Grades_2023T1ET1E,13217,C
EHSS-10 Final Grades_2023T1ET1E,13230,B
EHSS-10 Final Grades_2023T1ET1E,13236,B
EHSS-10 Final Grades_2023T1ET1E,13249,B
EHSS-10 Final Grades_2023T1ET1E,13352,C
EHSS-10 Final Grades_2023T1ET1E,13380,D
EHSS-10 Final Grades_2023T1ET1E,13381,C
EHSS-10 Final Grades_2023T1ET1E,13486,B
EHSS-10 Final Grades_2023T1ET1E,13497,B
EHSS-10 Final Grades_2023T1ET1E,13527,A
EHSS-10 Final Grades_2023T1ET1E,13558,B
EHSS-10 Final Grades_2023T1ET1E,13573,D
EHSS-10 Final Grades_2023T1ET1E,13693,B
EHSS-10 Final Grades_2023T1ET1E,13754,F
EHSS-10 Final Grades_2023T1ET1E,13885,C
EHSS-10 Final Grades_2023T1ET1E,13902,B
EHSS-10 Final Grades_2023T1ET1E,14202,B
EHSS-10 Final Grades_2023T1ET1E,14212,F
EHSS-10 Final Grades_2023T1ET1E,14253,B
EHSS-10 Final Grades_2023T1ET1E,14294,B
EHSS-10 Final Grades_2023T1ET1E,14453,C
EHSS-10 Final Grades_2023T1ET1E,14470,C
EHSS-10 Final Grades_2023T1ET1E,14524,C
EHSS-10 Final Grades_2023T1ET1E,14668,C
EHSS-10 Final Grades_2023T1ET1E,14694,B
EHSS-10 Final Grades_2023T1ET1E,14935,B
EHSS-10 Final Grades_2023T1ET1E,15163,C
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,11270,C
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,11714,C
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,11832,C
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,11948,C
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,11993,A
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,12035,D
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,12596,D
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,12674,D
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,12806,D
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,13217,C
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,13230,B
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,13236,B
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,13249,B
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,13352,C
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,13380,D
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,13381,C
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,13486,B
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,13497,B
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,13527,A
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,13558,B
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,13573,D
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,13693,B
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,13754,F
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,13885,C
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,13902,B
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,14202,B
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,14212,F
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,14253,B
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,14294,B
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,14453,C
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,14470,C
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,14524,C
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,14668,C
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,14694,B
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,14935,B
EHSS-10 Final Grades - 17 July 2023_2023T1ET1E,15163,C
