filename,student_id,grade
EHSS-7B Final Grades_231009E-T3AE,11840,C
EHSS-7B Final Grades_231009E-T3AE,13233,D
EHSS-7B Final Grades_231009E-T3AE,13683,C
EHSS-7B Final Grades_231009E-T3AE,13719,D
EHSS-7B Final Grades_231009E-T3AE,13722,C
EHSS-7B Final Grades_231009E-T3AE,13750,C
EHSS-7B Final Grades_231009E-T3AE,13751,C
EHSS-7B Final Grades_231009E-T3AE,13752,B
EHSS-7B Final Grades_231009E-T3AE,13797,C
EHSS-7B Final Grades_231009E-T3AE,13846,C
EHSS-7B Final Grades_231009E-T3AE,14209,D
EHSS-7B Final Grades_231009E-T3AE,14285,C
EHSS-7B Final Grades_231009E-T3AE,14295,C
EHSS-7B Final Grades_231009E-T3AE,14310,F
EHSS-7B Final Grades_231009E-T3AE,14479,B
EHSS-7B Final Grades_231009E-T3AE,14548,C
EHSS-7B Final Grades_231009E-T3AE,14555,B
EHSS-7B Final Grades_231009E-T3AE,14601,C
EHSS-7B Final Grades_231009E-T3AE,15059,C
EHSS-7B Final Grades_231009E-T3AE,15087,B
EHSS-7B Final Grades_231009E-T3AE,15096,A
EHSS-7B Final Grades_231009E-T3AE,15147,C
EHSS-7B Final Grades_231009E-T3AE,15532,B
EHSS-7B Final Grades_231009E-T3AE,11840,C
EHSS-7B Final Grades_231009E-T3AE,13233,D
EHSS-7B Final Grades_231009E-T3AE,13683,C
EHSS-7B Final Grades_231009E-T3AE,13719,D
EHSS-7B Final Grades_231009E-T3AE,13722,C
EHSS-7B Final Grades_231009E-T3AE,13750,C
EHSS-7B Final Grades_231009E-T3AE,13751,C
EHSS-7B Final Grades_231009E-T3AE,13752,B
EHSS-7B Final Grades_231009E-T3AE,13797,C
EHSS-7B Final Grades_231009E-T3AE,13846,C
EHSS-7B Final Grades_231009E-T3AE,14209,D
EHSS-7B Final Grades_231009E-T3AE,14285,C
EHSS-7B Final Grades_231009E-T3AE,14295,C
EHSS-7B Final Grades_231009E-T3AE,14310,F
EHSS-7B Final Grades_231009E-T3AE,14479,B
EHSS-7B Final Grades_231009E-T3AE,14548,C
EHSS-7B Final Grades_231009E-T3AE,14555,B
EHSS-7B Final Grades_231009E-T3AE,14601,C
EHSS-7B Final Grades_231009E-T3AE,15059,C
EHSS-7B Final Grades_231009E-T3AE,15087,B
EHSS-7B Final Grades_231009E-T3AE,15096,A
EHSS-7B Final Grades_231009E-T3AE,15147,C
EHSS-7B Final Grades_231009E-T3AE,15532,B
