filename,student_id,grade
EHSS-07B Final Grades - 7 Aug 2023 Term B_2023T2BT2E,11575,B
EHSS-07B Final Grades - 7 Aug 2023 Term B_2023T2BT2E,13931,B
EHSS-07B Final Grades - 7 Aug 2023 Term B_2023T2BT2E,13943,B
EHSS-07B Final Grades - 7 Aug 2023 Term B_2023T2BT2E,13963,C
EHSS-07B Final Grades - 7 Aug 2023 Term B_2023T2BT2E,13979,C
EHSS-07B Final Grades - 7 Aug 2023 Term B_2023T2BT2E,14032,C
EHSS-07B Final Grades - 7 Aug 2023 Term B_2023T2BT2E,14034,C
EHSS-07B Final Grades - 7 Aug 2023 Term B_2023T2BT2E,14042,C
EHSS-07B Final Grades - 7 Aug 2023 Term B_2023T2BT2E,14045,D
EHSS-07B Final Grades - 7 Aug 2023 Term B_2023T2BT2E,14060,D
EHSS-07B Final Grades - 7 Aug 2023 Term B_2023T2BT2E,14072,C
EHSS-07B Final Grades - 7 Aug 2023 Term B_2023T2BT2E,14095,D
EHSS-07B Final Grades - 7 Aug 2023 Term B_2023T2BT2E,14107,C
EHSS-07B Final Grades - 7 Aug 2023 Term B_2023T2BT2E,14338,C
EHSS-07B Final Grades - 7 Aug 2023 Term B_2023T2BT2E,14418,B
EHSS-07B Final Grades - 7 Aug 2023 Term B_2023T2BT2E,14613,C
EHSS-07B Final Grades - 7 Aug 2023 Term B_2023T2BT2E,14781,B
EHSS-07B Final Grades - 7 Aug 2023 Term B_2023T2BT2E,15351,C
EHSS-07B Final Grades - 7 Aug 2023 Term B_2023T2BT2E,15355,B
EHSS-07B Final Grades - 7 Aug 2023 Term B_2023T2BT2E,15370,B
EHSS-07B Final Grades_2023T2BT2E,11575,B
EHSS-07B Final Grades_2023T2BT2E,13931,B
EHSS-07B Final Grades_2023T2BT2E,13943,B
EHSS-07B Final Grades_2023T2BT2E,13963,C
EHSS-07B Final Grades_2023T2BT2E,13979,C
EHSS-07B Final Grades_2023T2BT2E,14032,C
EHSS-07B Final Grades_2023T2BT2E,14034,C
EHSS-07B Final Grades_2023T2BT2E,14042,C
EHSS-07B Final Grades_2023T2BT2E,14045,D
EHSS-07B Final Grades_2023T2BT2E,14060,D
EHSS-07B Final Grades_2023T2BT2E,14072,C
EHSS-07B Final Grades_2023T2BT2E,14095,D
EHSS-07B Final Grades_2023T2BT2E,14107,C
EHSS-07B Final Grades_2023T2BT2E,14338,C
EHSS-07B Final Grades_2023T2BT2E,14418,B
EHSS-07B Final Grades_2023T2BT2E,14613,C
EHSS-07B Final Grades_2023T2BT2E,14781,B
EHSS-07B Final Grades_2023T2BT2E,15351,C
EHSS-07B Final Grades_2023T2BT2E,15355,B
EHSS-07B Final Grades_2023T2BT2E,15370,B
