filename,student_id,grade
IEAP-BG-2022T1T1E Grades rev. 1,01124,C
IEAP-BG-2022T1T1E Grades rev. 1,06550,B
IEAP-BG-2022T1T1E Grades rev. 1,13404,A
IEAP-BG-2022T1T1E Grades rev. 1,13673,B
IEAP-BG-2022T1T1E Grades rev. 1,13868,C
IEAP-BG-2022T1T1E Grades rev. 1,14148,C
IEAP-BG-2022T1T1E Grades rev. 1,14173,F
IEAP-BG-2022T1T1E Grades rev. 1,14177,A
IEAP-BG-2022T1T1E Grades rev. 1,14179,A
IEAP-BG-2022T1T1E Grades rev. 1,14180,A
IEAP-BG-2022T1T1E Grades rev. 1,14181,A
IEAP-BG-2022T1T1E Grades rev. 1,14183,A
IEAP-BG-2022T1T1E Grades rev. 1,14184,A
IEAP-BG-2022T1T1E Grades rev. 1,14186,B
IEAP-BG-2022T1T1E Grades rev. 1,14206,D
IEAP-BG-2022T1T1E Grades rev. 1,14208,B
IEAP-BG-2022T1T1E Grades rev. 1,14210,A
IEAP-BG-2022T1T1E Grades rev. 1,14216,A
IEAP-BG-2022T1T1E Grades rev. 1,14255,C
IEAP-BG-2022T1T1E Grades rev. 1,14298,B
IEAP-BG-2022T1T1E Grades rev. 1,14303,A
IEAP-BG-2022T1T1E Grades rev. 1,14383,B
IEAP-BG-2022T1T1E Grades rev. 1,14450,A
IEAP-BG-2022T1T1E Grades rev. 1,14488,A
IEAP-BG-2022T1T1E Grades rev. 1,14495,A
IEAP-BG-2022T1T1E Grades rev. 1,14499,C
IEAP-BG-2022T1T1E Grades rev. 1,14502,B
IEAP-BG-2022T1T1E Grades rev. 1,14503,C
IEAP-BG-2022T1T1E Grades rev. 1,14505,B
IEAP-BG-2022T1T1E Grades rev. 1,14519,D
IEAP-BG-2022T1T1E Grades rev. 1,14538,A
IEAP-BG-2022T1T1E Grades rev. 1,14539,A
IEAP-BG-2022T1T1E Grades rev. 1,14540,A
IEAP-BG-2022T1T1E Grades rev. 1,14543,A
IEAP-BG-2022T1T1E Grades rev. 1,14560,B
IEAP-BG-2022T1T1E Grades rev. 1,14561,B
IEAP-BG-2022T1T1E Grades rev. 1,14566,A
IEAP-BG-2022T1T1E Grades rev. 1,14568,A
IEAP-BG-2022T1T1E Grades rev. 1,14576,C
IEAP-BG-2022T1T1E Grades rev. 1,14577,B
IEAP-BG-2022T1T1E Grades,06550,B
IEAP-BG-2022T1T1E Grades,13404,A
IEAP-BG-2022T1T1E Grades,13673,B
IEAP-BG-2022T1T1E Grades,13868,C
IEAP-BG-2022T1T1E Grades,14148,C
IEAP-BG-2022T1T1E Grades,14173,F
IEAP-BG-2022T1T1E Grades,14177,A
IEAP-BG-2022T1T1E Grades,14179,A
IEAP-BG-2022T1T1E Grades,14180,A
IEAP-BG-2022T1T1E Grades,14181,A
IEAP-BG-2022T1T1E Grades,14183,A
IEAP-BG-2022T1T1E Grades,14184,A
IEAP-BG-2022T1T1E Grades,14186,B
IEAP-BG-2022T1T1E Grades,14206,D
IEAP-BG-2022T1T1E Grades,14208,B
IEAP-BG-2022T1T1E Grades,14210,A
IEAP-BG-2022T1T1E Grades,14216,A
IEAP-BG-2022T1T1E Grades,14255,C
IEAP-BG-2022T1T1E Grades,14298,B
IEAP-BG-2022T1T1E Grades,14303,A
IEAP-BG-2022T1T1E Grades,14383,B
IEAP-BG-2022T1T1E Grades,14450,A
IEAP-BG-2022T1T1E Grades,14488,A
IEAP-BG-2022T1T1E Grades,14495,A
IEAP-BG-2022T1T1E Grades,14499,C
IEAP-BG-2022T1T1E Grades,14502,B
IEAP-BG-2022T1T1E Grades,14503,C
IEAP-BG-2022T1T1E Grades,14505,B
IEAP-BG-2022T1T1E Grades,14519,D
IEAP-BG-2022T1T1E Grades,14538,A
IEAP-BG-2022T1T1E Grades,14539,A
IEAP-BG-2022T1T1E Grades,14540,A
IEAP-BG-2022T1T1E Grades,14543,A
IEAP-BG-2022T1T1E Grades,14560,B
IEAP-BG-2022T1T1E Grades,14561,B
IEAP-BG-2022T1T1E Grades,14566,A
IEAP-BG-2022T1T1E Grades,14568,A
IEAP-BG-2022T1T1E Grades,14576,C
IEAP-BG-2022T1T1E Grades,14577,B
IEAP-BG-2022T1T1E Grades,06550,B
IEAP-BG-2022T1T1E Grades,13404,A
IEAP-BG-2022T1T1E Grades,13673,B
IEAP-BG-2022T1T1E Grades,13868,C
IEAP-BG-2022T1T1E Grades,14148,C
