filename,student_id,grade
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,14523,A
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,14839,C
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,15448,C
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,15548,A
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,15649,A
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16228,A
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16283,A
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16313,C
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16538,B
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16601,B
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16603,C
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16657,C
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16674,B
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16682,A
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16686,F
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16701,A
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16714,B
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16731,B
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16738,B
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16749,A
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16751,A
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16753,D
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16755,A
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16761,C
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16777,B
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16778,B
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16865,C
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16880,B
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16896,B
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16905,A
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16909,A
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16914,B
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16915,C
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16920,A
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16923,A
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16925,A
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16945,B
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16946,A
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16962,C
IEAP-B Final Grades - 8 July 2024_240708E-T3AE,16963,B
