filename,student_id,grade
EHSS-05 Final Grades_2022AT3E,12249,B
EHSS-05 Final Grades_2022AT3E,12422,B
EHSS-05 Final Grades_2022AT3E,12464,B
EHSS-05 Final Grades_2022AT3E,12716,B
EHSS-05 Final Grades_2022AT3E,13255,C
EHSS-05 Final Grades_2022AT3E,13265,B
EHSS-05 Final Grades_2022AT3E,13317,B
EHSS-05 Final Grades_2022AT3E,13338,B
EHSS-05 Final Grades_2022AT3E,13378,F
EHSS-05 Final Grades_2022AT3E,13595,C
EHSS-05 Final Grades_2022AT3E,13604,B
EHSS-05 Final Grades_2022AT3E,13606,F
EHSS-05 Final Grades_2022AT3E,13919,F
EHSS-05 Final Grades_2022AT3E,13939,A
EHSS-05 Final Grades_2022AT3E,13944,B
EHSS-05 Final Grades_2022AT3E,14026,C
EHSS-05 Final Grades_2022AT3E,14036,B
EHSS-05 Final Grades_2022AT3E,14060,F
EHSS-05 Final Grades_2022AT3E,14067,B
EHSS-05 Final Grades_2022AT3E,14107,C
EHSS-05 Final Grades_2022AT3E,14329,B
EHSS-05 Final Grades_2022AT3E,14361,A
EHSS-05 Final Grades_2022AT3E,14394,B
EHSS-05 Final Grades_2022AT3E,14402,D
EHSS-05 Final Grades_2022AT3E,14405,D
EHSS-05 Final Grades_2022AT3E,14409,B
EHSS-05 Final Grades_2022AT3E,14783,B
EHSS-05 Final Grades_2022AT3E,14789,B
EHSS-05 Final Grades_2022AT3E,14811,C
EHSS-05 Final Grades_2022AT3E,14825,C
EHSS-05 Final Grades_2022AT3E,14831,B
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,10309,D
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,12506,F
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,12848,F
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13292,B
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13316,B
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13321,F
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13340,C
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13361,B
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13417,B
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13525,B
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13537,D
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13551,F
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13563,F
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13566,C
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13567,D
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13577,B
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13581,C
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13656,B
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13663,B
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13686,C
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13764,B
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13781,B
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13806,B
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13808,A
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13869,B
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13871,B
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,13949,C
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,14146,A
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,14206,C
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,14254,C
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,14270,B
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,14278,D
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,14448,B
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,14531,A
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,14535,B
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,14658,D
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,14679,D
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,14685,F
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,14688,F
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,14701,C
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,14731,A
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,14739,D
EHSS-05 Final Grades - 17 Oct 2022_2022AT3E,14751,D
EHSS-05 Final Grades_2022AT3E,12249,B
EHSS-05 Final Grades_2022AT3E,12422,B
EHSS-05 Final Grades_2022AT3E,12464,B
EHSS-05 Final Grades_2022AT3E,12716,B
EHSS-05 Final Grades_2022AT3E,13255,C
EHSS-05 Final Grades_2022AT3E,13265,B
EHSS-05 Final Grades_2022AT3E,13317,B
EHSS-05 Final Grades_2022AT3E,13338,B
EHSS-05 Final Grades_2022AT3E,13378,F
EHSS-05 Final Grades_2022AT3E,13595,C
EHSS-05 Final Grades_2022AT3E,13604,B
EHSS-05 Final Grades_2022AT3E,13606,F
EHSS-05 Final Grades_2022AT3E,13919,F
EHSS-05 Final Grades_2022AT3E,13939,A
EHSS-05 Final Grades_2022AT3E,13944,B
EHSS-05 Final Grades_2022AT3E,14026,C
EHSS-05 Final Grades_2022AT3E,14036,B
EHSS-05 Final Grades_2022AT3E,14060,F
EHSS-05 Final Grades_2022AT3E,14067,B
EHSS-05 Final Grades_2022AT3E,14107,C
EHSS-05 Final Grades_2022AT3E,14329,B
EHSS-05 Final Grades_2022AT3E,14361,A
EHSS-05 Final Grades_2022AT3E,14394,B
EHSS-05 Final Grades_2022AT3E,14402,D
EHSS-05 Final Grades_2022AT3E,14405,D
EHSS-05 Final Grades_2022AT3E,14409,B
EHSS-05 Final Grades_2022AT3E,14783,B
EHSS-05 Final Grades_2022AT3E,14789,B
EHSS-05 Final Grades_2022AT3E,14811,C
EHSS-05 Final Grades_2022AT3E,14825,C
EHSS-05 Final Grades_2022AT3E,14831,B
