filename,student_id,grade
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,13335,F
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,13335,F
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,13679,B
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,15936,F
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,15938,B
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,15941,C
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,15944,C
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,15952,B
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,15953,B
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,15996,C
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,16120,D
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,16124,B
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,16146,C
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,16184,C
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,16185,B
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,16233,B
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,16257,C
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,16270,B
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,16279,B
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,16289,B
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,16304,A
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,16326,B
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,16369,B
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,16416,F
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,16419,B
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,16463,D
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,16473,F
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,16500,C
GESL-1 Final Grades - 9 Jan 2024_240109E-T1AE,16524,A
GESL-1 Final Grades_240109E-T1AE,13335,F
GESL-1 Final Grades_240109E-T1AE,13335,F
GESL-1 Final Grades_240109E-T1AE,13679,B
GESL-1 Final Grades_240109E-T1AE,15936,F
GESL-1 Final Grades_240109E-T1AE,15938,B
GESL-1 Final Grades_240109E-T1AE,15941,C
GESL-1 Final Grades_240109E-T1AE,15944,C
GESL-1 Final Grades_240109E-T1AE,15952,B
GESL-1 Final Grades_240109E-T1AE,15953,B
GESL-1 Final Grades_240109E-T1AE,15996,C
GESL-1 Final Grades_240109E-T1AE,16120,D
GESL-1 Final Grades_240109E-T1AE,16124,B
GESL-1 Final Grades_240109E-T1AE,16146,C
GESL-1 Final Grades_240109E-T1AE,16184,C
GESL-1 Final Grades_240109E-T1AE,16185,B
GESL-1 Final Grades_240109E-T1AE,16233,B
GESL-1 Final Grades_240109E-T1AE,16257,C
GESL-1 Final Grades_240109E-T1AE,16270,B
GESL-1 Final Grades_240109E-T1AE,16279,B
GESL-1 Final Grades_240109E-T1AE,16289,B
GESL-1 Final Grades_240109E-T1AE,16304,A
GESL-1 Final Grades_240109E-T1AE,16326,B
GESL-1 Final Grades_240109E-T1AE,16369,B
GESL-1 Final Grades_240109E-T1AE,16416,F
GESL-1 Final Grades_240109E-T1AE,16419,B
GESL-1 Final Grades_240109E-T1AE,16463,F
GESL-1 Final Grades_240109E-T1AE,16473,F
GESL-1 Final Grades_240109E-T1AE,16500,C
GESL-1 Final Grades_240109E-T1AE,16524,A
