filename,student_id,grade
IEAP-3 Final Grades_2023T1ET1E,07619,A
IEAP-3 Final Grades_2023T1ET1E,09383,C
IEAP-3 Final Grades_2023T1ET1E,10408,B
IEAP-3 Final Grades_2023T1ET1E,11551,B
IEAP-3 Final Grades_2023T1ET1E,11791,B
IEAP-3 Final Grades_2023T1ET1E,12706,C
IEAP-3 Final Grades_2023T1ET1E,13566,B
IEAP-3 Final Grades_2023T1ET1E,13567,C
IEAP-3 Final Grades_2023T1ET1E,14136,A
IEAP-3 Final Grades_2023T1ET1E,14138,B
IEAP-3 Final Grades_2023T1ET1E,14175,A
IEAP-3 Final Grades_2023T1ET1E,14199,B
IEAP-3 Final Grades_2023T1ET1E,14252,B
IEAP-3 Final Grades_2023T1ET1E,14333,B
IEAP-3 Final Grades_2023T1ET1E,14471,B
IEAP-3 Final Grades_2023T1ET1E,14478,B
IEAP-3 Final Grades_2023T1ET1E,14525,C
IEAP-3 Final Grades_2023T1ET1E,14543,B
IEAP-3 Final Grades_2023T1ET1E,14660,A
IEAP-3 Final Grades_2023T1ET1E,14697,B
IEAP-3 Final Grades_2023T1ET1E,14707,A
IEAP-3 Final Grades_2023T1ET1E,14723,B
IEAP-3 Final Grades_2023T1ET1E,14725,A
IEAP-3 Final Grades_2023T1ET1E,14727,B
IEAP-3 Final Grades_2023T1ET1E,14741,B
IEAP-3 Final Grades_2023T1ET1E,14742,C
IEAP-3 Final Grades_2023T1ET1E,14743,D
IEAP-3 Final Grades_2023T1ET1E,14744,C
IEAP-3 Final Grades_2023T1ET1E,14758,B
IEAP-3 Final Grades_2023T1ET1E,14896,B
IEAP-3 Final Grades_2023T1ET1E,14903,A
IEAP-3 Final Grades_2023T1ET1E,14952,A
IEAP-3 Final Grades_2023T1ET1E,14962,A
IEAP-3 Final Grades_2023T1ET1E,14982,A
IEAP-3 Final Grades_2023T1ET1E,14992,A
IEAP-3 Final Grades_2023T1ET1E,15002,A
IEAP-3 Final Grades_2023T1ET1E,15007,C
IEAP-3 Final Grades_2023T1ET1E,15018,C
IEAP-3 Final Grades_2023T1ET1E,15143,B
IEAP-3 Final Grades_2023T1ET1E,15189,B
IEAP-3 Final Grades_2023T1ET1E,15248,A
IEAP-3 Final Grades_2023T1ET1E,15258,B
IEAP-3 Final Grades_2023T1ET1E,15450,A
IEAP-3 Final Grades_2023T1ET1E,15454,A
IEAP-3 Final Grades_2023T1ET1E,15473,B
IEAP-3 Final Grades_2023T1ET1E,15509,A
IEAP-3 Final Grades_2023T1ET1E,15698,F
IEAP-3 Final Grades_2023T1ET1E,15716,B
IEAP-3 Final Grades_2023T1ET1E,15841,A
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,07619,A
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,09383,C
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,10408,B
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,11551,B
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,11791,B
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,12706,C
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,13566,B
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,13567,C
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,14136,A
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,14138,B
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,14175,A
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,14199,B
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,14252,B
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,14333,B
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,14471,B
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,14478,B
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,14525,C
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,14543,B
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,14660,A
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,14697,B
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,14707,A
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,14723,B
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,14725,A
IEAP-3 Final Grades - 17 July 2023_2023T1ET1E,14727,B
