filename,student_id,grade
IEAP-03 Final Grades_231106E-T4BE,06652,D
IEAP-03 Final Grades_231106E-T4BE,13911,A
IEAP-03 Final Grades_231106E-T4BE,14050,B
IEAP-03 Final Grades_231106E-T4BE,14407,D
IEAP-03 Final Grades_231106E-T4BE,15325,B
IEAP-03 Final Grades_231106E-T4BE,15341,C
IEAP-03 Final Grades_231106E-T4BE,15343,C
IEAP-03 Final Grades_231106E-T4BE,15368,B
IEAP-03 Final Grades_231106E-T4BE,15413,D
IEAP-03 Final Grades_231106E-T4BE,15423,B
IEAP-03 Final Grades_231106E-T4BE,15437,C
IEAP-03 Final Grades_231106E-T4BE,15603,B
IEAP-03 Final Grades_231106E-T4BE,15604,A
IEAP-03 Final Grades_231106E-T4BE,15851,F
IEAP-03 9 Nov 2023 B - Final Grades_231106E-T4BE,06652,D
IEAP-03 9 Nov 2023 B - Final Grades_231106E-T4BE,13911,A
IEAP-03 9 Nov 2023 B - Final Grades_231106E-T4BE,14050,B
IEAP-03 9 Nov 2023 B - Final Grades_231106E-T4BE,14407,D
IEAP-03 9 Nov 2023 B - Final Grades_231106E-T4BE,15325,B
IEAP-03 9 Nov 2023 B - Final Grades_231106E-T4BE,15341,C
IEAP-03 9 Nov 2023 B - Final Grades_231106E-T4BE,15343,C
IEAP-03 9 Nov 2023 B - Final Grades_231106E-T4BE,15368,B
IEAP-03 9 Nov 2023 B - Final Grades_231106E-T4BE,15413,D
IEAP-03 9 Nov 2023 B - Final Grades_231106E-T4BE,15423,B
IEAP-03 9 Nov 2023 B - Final Grades_231106E-T4BE,15437,C
IEAP-03 9 Nov 2023 B - Final Grades_231106E-T4BE,15603,B
IEAP-03 9 Nov 2023 B - Final Grades_231106E-T4BE,15604,A
IEAP-03 9 Nov 2023 B - Final Grades_231106E-T4BE,15851,F
