filename,student_id,grade
IEAP-4 Final Grades_231009E-T3AE,07619,A
IEAP-4 Final Grades_231009E-T3AE,09383,F
IEAP-4 Final Grades_231009E-T3AE,10408,F
IEAP-4 Final Grades_231009E-T3AE,11551,D
IEAP-4 Final Grades_231009E-T3AE,11791,C
IEAP-4 Final Grades_231009E-T3AE,12706,D
IEAP-4 Final Grades_231009E-T3AE,13018,B
IEAP-4 Final Grades_231009E-T3AE,13566,C
IEAP-4 Final Grades_231009E-T3AE,13567,C
IEAP-4 Final Grades_231009E-T3AE,13748,C
IEAP-4 Final Grades_231009E-T3AE,13800,C
IEAP-4 Final Grades_231009E-T3AE,14136,B
IEAP-4 Final Grades_231009E-T3AE,14138,B
IEAP-4 Final Grades_231009E-T3AE,14175,A
IEAP-4 Final Grades_231009E-T3AE,14216,D
IEAP-4 Final Grades_231009E-T3AE,14252,D
IEAP-4 Final Grades_231009E-T3AE,14333,B
IEAP-4 Final Grades_231009E-T3AE,14471,C
IEAP-4 Final Grades_231009E-T3AE,14478,C
IEAP-4 Final Grades_231009E-T3AE,14660,B
IEAP-4 Final Grades_231009E-T3AE,14677,D
IEAP-4 Final Grades_231009E-T3AE,14694,A
IEAP-4 Final Grades_231009E-T3AE,14697,D
IEAP-4 Final Grades_231009E-T3AE,14707,B
IEAP-4 Final Grades_231009E-T3AE,14723,B
IEAP-4 Final Grades_231009E-T3AE,14725,B
IEAP-4 Final Grades_231009E-T3AE,14727,C
IEAP-4 Final Grades_231009E-T3AE,14741,D
IEAP-4 Final Grades_231009E-T3AE,14742,F
IEAP-4 Final Grades_231009E-T3AE,14743,C
IEAP-4 Final Grades_231009E-T3AE,14744,C
IEAP-4 Final Grades_231009E-T3AE,14758,C
IEAP-4 Final Grades_231009E-T3AE,14896,D
IEAP-4 Final Grades_231009E-T3AE,14903,B
IEAP-4 Final Grades_231009E-T3AE,14952,A
IEAP-4 Final Grades_231009E-T3AE,14962,A
IEAP-4 Final Grades_231009E-T3AE,14982,B
IEAP-4 Final Grades_231009E-T3AE,14992,C
IEAP-4 Final Grades_231009E-T3AE,15002,B
IEAP-4 Final Grades_231009E-T3AE,15007,F
IEAP-4 Final Grades_231009E-T3AE,15018,C
IEAP-4 Final Grades_231009E-T3AE,15143,D
IEAP-4 Final Grades_231009E-T3AE,15189,C
IEAP-4 Final Grades_231009E-T3AE,15248,A
IEAP-4 Final Grades_231009E-T3AE,15258,C
IEAP-4 Final Grades_231009E-T3AE,15450,A
IEAP-4 Final Grades_231009E-T3AE,15454,C
IEAP-4 Final Grades_231009E-T3AE,15473,B
IEAP-4 Final Grades_231009E-T3AE,15509,B
IEAP-4 Final Grades_231009E-T3AE,15716,A
