filename,student_id,grade
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,11543,F
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,14891,F
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15502,C
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15507,D
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15682,D
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15690,C
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15695,A
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15697,B
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15701,C
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15707,B
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15709,B
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15715,F
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15724,C
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15725,D
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15731,C
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15732,C
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15737,C
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15745,D
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15748,C
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15749,B
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15750,F
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15753,B
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15755,C
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15761,B
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15762,B
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15764,B
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15765,A
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15771,C
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15772,F
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15774,C
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15778,F
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15779,A
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15781,F
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15782,C
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15785,B
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15786,B
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15788,B
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15790,D
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15793,F
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15795,B
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15797,B
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15803,F
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15805,F
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15814,B
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15826,F
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15830,C
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15833,C
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15834,B
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15839,B
GESL-PB2 Final Grades - 17 July 2023_2023T1ET1E,15840,F
GESL-PB2 Final Grades_2023T1ET1E,11543,F
GESL-PB2 Final Grades_2023T1ET1E,14891,F
GESL-PB2 Final Grades_2023T1ET1E,15502,C
GESL-PB2 Final Grades_2023T1ET1E,15507,D
GESL-PB2 Final Grades_2023T1ET1E,15682,D
GESL-PB2 Final Grades_2023T1ET1E,15690,C
