filename,student_id,grade
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,10822,F
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,11695,C
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,12284,C
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,12914,C
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,13237,C
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,13259,D
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,13313,C
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,13334,C
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,13337,C
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,13345,C
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,13369,C
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,13443,D
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,13637,C
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,13741,D
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,13826,D
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,13909,C
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,13910,C
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,13913,B
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,14047,F
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,14141,B
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,14597,C
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,15162,C
EHSS-9B Final Grades - 17 July 2023_2023T1ET1E,15219,F
EHSS-9B Final Grades_2023T1ET1E,10822,F
EHSS-9B Final Grades_2023T1ET1E,11695,C
EHSS-9B Final Grades_2023T1ET1E,12284,C
EHSS-9B Final Grades_2023T1ET1E,12914,C
EHSS-9B Final Grades_2023T1ET1E,13237,C
EHSS-9B Final Grades_2023T1ET1E,13259,D
EHSS-9B Final Grades_2023T1ET1E,13313,C
EHSS-9B Final Grades_2023T1ET1E,13334,C
EHSS-9B Final Grades_2023T1ET1E,13337,C
EHSS-9B Final Grades_2023T1ET1E,13345,C
EHSS-9B Final Grades_2023T1ET1E,13369,C
EHSS-9B Final Grades_2023T1ET1E,13443,D
EHSS-9B Final Grades_2023T1ET1E,13637,C
EHSS-9B Final Grades_2023T1ET1E,13741,D
EHSS-9B Final Grades_2023T1ET1E,13826,D
EHSS-9B Final Grades_2023T1ET1E,13909,C
EHSS-9B Final Grades_2023T1ET1E,13910,C
EHSS-9B Final Grades_2023T1ET1E,13913,B
EHSS-9B Final Grades_2023T1ET1E,14047,F
EHSS-9B Final Grades_2023T1ET1E,14141,B
EHSS-9B Final Grades_2023T1ET1E,14597,C
EHSS-9B Final Grades_2023T1ET1E,15219,F
