filename,student_id,grade
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,11429,B
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,12827,C
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,13726,D
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,14274,C
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,14527,F
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,14665,C
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,14702,B
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,14753,C
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,14963,B
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,15048,B
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,15088,C
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,15091,B
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,15152,A
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,15159,B
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,15179,B
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,15207,B
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,15269,A
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,15496,B
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,15555,C
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,15561,C
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,15577,C
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,15596,F
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,15599,C
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,15720,F
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,15744,B
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,15791,B
GESL-3 Final Grades - 17 July 2023_2023T1ET1E,15825,F
GESL-3 Final Grades_2023T1ET1E,11429,B
GESL-3 Final Grades_2023T1ET1E,12827,C
GESL-3 Final Grades_2023T1ET1E,13726,D
GESL-3 Final Grades_2023T1ET1E,14274,C
GESL-3 Final Grades_2023T1ET1E,14527,F
GESL-3 Final Grades_2023T1ET1E,14665,C
GESL-3 Final Grades_2023T1ET1E,14702,B
GESL-3 Final Grades_2023T1ET1E,14753,C
GESL-3 Final Grades_2023T1ET1E,14963,B
GESL-3 Final Grades_2023T1ET1E,15048,B
GESL-3 Final Grades_2023T1ET1E,15088,C
GESL-3 Final Grades_2023T1ET1E,15091,B
GESL-3 Final Grades_2023T1ET1E,15152,A
GESL-3 Final Grades_2023T1ET1E,15159,B
GESL-3 Final Grades_2023T1ET1E,15179,B
GESL-3 Final Grades_2023T1ET1E,15207,B
GESL-3 Final Grades_2023T1ET1E,15269,A
GESL-3 Final Grades_2023T1ET1E,15496,B
GESL-3 Final Grades_2023T1ET1E,15555,C
GESL-3 Final Grades_2023T1ET1E,15561,C
GESL-3 Final Grades_2023T1ET1E,15577,C
GESL-3 Final Grades_2023T1ET1E,15596,F
GESL-3 Final Grades_2023T1ET1E,15599,C
GESL-3 Final Grades_2023T1ET1E,15720,F
GESL-3 Final Grades_2023T1ET1E,15744,B
GESL-3 Final Grades_2023T1ET1E,15791,B
GESL-3 Final Grades_2023T1ET1E,15825,F
