filename,student_id,grade
IEAP-PRE final 28-06-21_2021T2T2E,13484,B
IEAP-PRE final 28-06-21_2021T2T2E,13518,A
IEAP-PRE final 28-06-21_2021T2T2E,13528,B
IEAP-PRE final 28-06-21_2021T2T2E,13529,B
IEAP-PRE final 28-06-21_2021T2T2E,13530,A
IEAP-PRE final 28-06-21_2021T2T2E,13532,A
IEAP-PRE final 28-06-21_2021T2T2E,13533,A
IEAP-PRE final 28-06-21_2021T2T2E,13542,C
IEAP-PRE final 28-06-21_2021T2T2E,13545,B
IEAP-PRE final 28-06-21_2021T2T2E,13553,A
IEAP-PRE final 28-06-21_2021T2T2E,13557,C
