filename,student_id,grade
EHSS-06 Final Grades_231106E-T4BE,14019,D
EHSS-06 Final Grades_231106E-T4BE,14020,C
EHSS-06 Final Grades_231106E-T4BE,14048,F
EHSS-06 Final Grades_231106E-T4BE,14328,C
EHSS-06 Final Grades_231106E-T4BE,14356,D
EHSS-06 Final Grades_231106E-T4BE,14367,F
EHSS-06 Final Grades_231106E-T4BE,14415,D
EHSS-06 Final Grades_231106E-T4BE,14430,B
EHSS-06 Final Grades_231106E-T4BE,14637,D
EHSS-06 Final Grades_231106E-T4BE,14774,C
EHSS-06 Final Grades_231106E-T4BE,14775,B
EHSS-06 Final Grades_231106E-T4BE,14777,D
EHSS-06 Final Grades_231106E-T4BE,14780,B
EHSS-06 Final Grades_231106E-T4BE,14784,F
EHSS-06 Final Grades_231106E-T4BE,14788,D
EHSS-06 Final Grades_231106E-T4BE,14817,C
EHSS-06 Final Grades_231106E-T4BE,15278,F
EHSS-06 Final Grades_231106E-T4BE,15323,C
EHSS-06 Final Grades_231106E-T4BE,15384,C
EHSS-06 Final Grades_231106E-T4BE,15385,B
EHSS-06 Final Grades_231106E-T4BE,15387,B
EHSS-06 Final Grades_231106E-T4BE,15418,B
EHSS-06 Final Grades_231106E-T4BE,15625,B
EHSS-06 Final Grades_231106E-T4BE,15654,C
EHSS-06 Final Grades_231106E-T4BE,15679,C
EHSS-06 Final Grades_231106E-T4BE,15858,B
EHSS-06 Final Grades_231106E-T4BE,15861,B
EHSS-06 Final Grades_231106E-T4BE,15881,C
EHSS-06 Final Grades_231106E-T4BE,15894,F
EHSS-06 Final Grades_231106E-T4BE,16039,B
EHSS-06 9 Nov 2023 B - Final Grades_231106E-T4BE,14019,D
EHSS-06 9 Nov 2023 B - Final Grades_231106E-T4BE,14020,C
EHSS-06 9 Nov 2023 B - Final Grades_231106E-T4BE,14048,F
EHSS-06 9 Nov 2023 B - Final Grades_231106E-T4BE,14328,C
EHSS-06 9 Nov 2023 B - Final Grades_231106E-T4BE,14356,D
EHSS-06 9 Nov 2023 B - Final Grades_231106E-T4BE,14367,F
EHSS-06 9 Nov 2023 B - Final Grades_231106E-T4BE,14415,D
EHSS-06 9 Nov 2023 B - Final Grades_231106E-T4BE,14430,B
EHSS-06 9 Nov 2023 B - Final Grades_231106E-T4BE,14637,D
EHSS-06 9 Nov 2023 B - Final Grades_231106E-T4BE,14774,C
