filename,student_id,grade
EHSS-09 Final Grades - 7 Aug 2023 Term B_2023T2BT2E,13240,C
EHSS-09 Final Grades - 7 Aug 2023 Term B_2023T2BT2E,13262,C
EHSS-09 Final Grades - 7 Aug 2023 Term B_2023T2BT2E,13263,C
EHSS-09 Final Grades - 7 Aug 2023 Term B_2023T2BT2E,13597,C
EHSS-09 Final Grades - 7 Aug 2023 Term B_2023T2BT2E,14085,B
EHSS-09 Final Grades - 7 Aug 2023 Term B_2023T2BT2E,14373,B
EHSS-09 Final Grades - 7 Aug 2023 Term B_2023T2BT2E,14382,C
EHSS-09 Final Grades - 7 Aug 2023 Term B_2023T2BT2E,14616,B
EHSS-09 Final Grades - 7 Aug 2023 Term B_2023T2BT2E,14830,B
EHSS-09 Final Grades_2023T2BT2E,13240,C
EHSS-09 Final Grades_2023T2BT2E,13262,C
EHSS-09 Final Grades_2023T2BT2E,13263,C
EHSS-09 Final Grades_2023T2BT2E,13597,C
EHSS-09 Final Grades_2023T2BT2E,14085,B
EHSS-09 Final Grades_2023T2BT2E,14373,B
EHSS-09 Final Grades_2023T2BT2E,14382,C
EHSS-09 Final Grades_2023T2BT2E,14616,B
EHSS-09 Final Grades_2023T2BT2E,14830,B
