filename,student_id,grade
EHSS-06 Final Grades 18 April 2022_2022T3E,04962,B
EHSS-06 Final Grades 18 April 2022_2022T3E,10687,C
EHSS-06 Final Grades 18 April 2022_2022T3E,11500,C
EHSS-06 Final Grades 18 April 2022_2022T3E,11598,B
EHSS-06 Final Grades 18 April 2022_2022T3E,11709,B
EHSS-06 Final Grades 18 April 2022_2022T3E,12528,C
EHSS-06 Final Grades 18 April 2022_2022T3E,12596,D
EHSS-06 Final Grades 18 April 2022_2022T3E,12789,C
EHSS-06 Final Grades 18 April 2022_2022T3E,12792,C
EHSS-06 Final Grades 18 April 2022_2022T3E,12851,C
EHSS-06 Final Grades 18 April 2022_2022T3E,12979,C
EHSS-06 Final Grades 18 April 2022_2022T3E,13127,B
EHSS-06 Final Grades 18 April 2022_2022T3E,13136,C
EHSS-06 Final Grades 18 April 2022_2022T3E,13137,F
EHSS-06 Final Grades 18 April 2022_2022T3E,13138,B
EHSS-06 Final Grades 18 April 2022_2022T3E,13147,C
EHSS-06 Final Grades 18 April 2022_2022T3E,13257,B
EHSS-06 Final Grades 18 April 2022_2022T3E,13330,B
EHSS-06 Final Grades 18 April 2022_2022T3E,13351,A
EHSS-06 Final Grades 18 April 2022_2022T3E,13372,B
EHSS-06 Final Grades 18 April 2022_2022T3E,13449,B
EHSS-06 Final Grades 18 April 2022_2022T3E,13680,A
EHSS-06 Final Grades 18 April 2022_2022T3E,13739,C
EHSS-06 Final Grades 18 April 2022_2022T3E,13818,B
EHSS-06 Final Grades 18 April 2022_2022T3E,13853,D
EHSS-06 Final Grades 18 April 2022_2022T3E,13885,D
EHSS-06 Final Grades 18 April 2022_2022T3E,14300,B
EHSS-06 Final Grades_2022T3E,04962,B
EHSS-06 Final Grades_2022T3E,10122,F
EHSS-06 Final Grades_2022T3E,10687,C
EHSS-06 Final Grades_2022T3E,11500,C
EHSS-06 Final Grades_2022T3E,11598,B
EHSS-06 Final Grades_2022T3E,11709,B
EHSS-06 Final Grades_2022T3E,12528,C
EHSS-06 Final Grades_2022T3E,12596,D
EHSS-06 Final Grades_2022T3E,12789,C
EHSS-06 Final Grades_2022T3E,12792,C
EHSS-06 Final Grades_2022T3E,12851,C
EHSS-06 Final Grades_2022T3E,12979,C
EHSS-06 Final Grades_2022T3E,13127,B
EHSS-06 Final Grades_2022T3E,13136,C
EHSS-06 Final Grades_2022T3E,13137,F
EHSS-06 Final Grades_2022T3E,13138,B
EHSS-06 Final Grades_2022T3E,13147,C
EHSS-06 Final Grades_2022T3E,13257,B
EHSS-06 Final Grades_2022T3E,13281,F
EHSS-06 Final Grades_2022T3E,13330,B
EHSS-06 Final Grades_2022T3E,13351,A
EHSS-06 Final Grades_2022T3E,13367,F
EHSS-06 Final Grades_2022T3E,13372,B
EHSS-06 Final Grades_2022T3E,13391,F
EHSS-06 Final Grades_2022T3E,13449,B
EHSS-06 Final Grades_2022T3E,13575,F
EHSS-06 Final Grades_2022T3E,13680,A
EHSS-06 Final Grades_2022T3E,13739,C
EHSS-06 Final Grades_2022T3E,13770,F
EHSS-06 Final Grades_2022T3E,13818,B
EHSS-06 Final Grades_2022T3E,13849,F
EHSS-06 Final Grades_2022T3E,13853,D
EHSS-06 Final Grades_2022T3E,13885,D
EHSS-06 Final Grades_2022T3E,14300,B
