filename,student_id,grade
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",09754,B
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",09769,C
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",10220,C
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",11042,B
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",12111,B
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",12639,D
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",12654,F
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13348,A
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13354,D
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13419,B
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13424,B
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13426,F
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13433,C
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13435,C
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13442,C
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13447,B
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13452,C
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13454,C
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13457,B
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13462,B
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13463,B
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13464,D
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13465,B
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13466,C
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13467,B
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13469,D
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13472,B
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13483,D
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13490,B
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13491,D
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13495,B
"IEAP-4 July 2022 ""A"" term final grades_2022T4E",13501,C
