filename,student_id,grade
GESL-02 Final Grades_231106E-T4BE,15403,C
GESL-02 Final Grades_231106E-T4BE,15629,F
GESL-02 Final Grades_231106E-T4BE,15636,C
GESL-02 Final Grades_231106E-T4BE,15646,B
GESL-02 Final Grades_231106E-T4BE,15647,B
GESL-02 Final Grades_231106E-T4BE,15649,F
GESL-02 Final Grades_231106E-T4BE,15663,C
GESL-02 Final Grades_231106E-T4BE,15666,C
GESL-02 Final Grades_231106E-T4BE,15876,F
GESL-02 Final Grades_231106E-T4BE,15891,F
GESL-02 - 9 November 2023 B Final Grades_231106E-T4BE,15403,C
GESL-02 - 9 November 2023 B Final Grades_231106E-T4BE,15629,F
GESL-02 - 9 November 2023 B Final Grades_231106E-T4BE,15636,C
GESL-02 - 9 November 2023 B Final Grades_231106E-T4BE,15646,B
GESL-02 - 9 November 2023 B Final Grades_231106E-T4BE,15647,B
GESL-02 - 9 November 2023 B Final Grades_231106E-T4BE,15649,F
GESL-02 - 9 November 2023 B Final Grades_231106E-T4BE,15663,C
GESL-02 - 9 November 2023 B Final Grades_231106E-T4BE,15666,C
GESL-02 - 9 November 2023 B Final Grades_231106E-T4BE,15876,F
GESL-02 - 9 November 2023 B Final Grades_231106E-T4BE,15891,F
